-6.000000 -4.331754 0.000000 0.500000 -276.322962 1.000000 0.000000
-6.000000 -3.190854 0.000000 0.417103 -276.322962 0.135601 0.000002
-6.000000 -2.086070 0.000000 0.216717 -266.597477 0.054009 0.000122
-6.000000 -1.000000 0.000000 -0.065722 -258.038719 0.050085 0.003530
-6.000000 0.085330 0.000000 -0.282867 -254.270006 0.050014 0.044135
-6.000000 1.185049 0.000000 -0.318215 -196.759017 0.050002 0.049579
-6.000000 2.312766 0.000000 -0.321579 -127.198015 0.050000 0.049893
-6.000000 3.480621 0.000000 -0.359387 -95.887805 0.050000 0.049909
-6.000000 4.698747 0.000000 -0.377102 -49.826626 0.050000 0.049919
-6.000000 5.974949 0.000000 -0.409261 -26.150804 0.050000 0.049924
-6.000000 7.314577 0.000000 -0.447763 9.640010 0.050000 0.049932
-6.000000 8.720607 0.000000 -0.437126 78.580936 0.050000 0.049945
-6.000000 10.193859 0.000000 -0.398065 101.965388 0.050000 0.049949
-6.000000 11.733329 0.000000 -0.370596 82.374677 0.050000 0.049945
-6.000000 13.336554 0.000000 -0.376101 34.786156 0.050000 0.049936
-6.000000 15.000000 0.000000 -0.365090 -12.802365 0.050000 0.049928
-4.666667 -4.331754 0.000000 0.500000 -276.322962 1.000000 0.000000
-4.666667 -3.190854 0.082735 0.417103 -276.322962 0.135601 0.000002
-4.666667 -2.086070 0.136532 0.216717 -266.597477 0.054009 0.000122
-4.666667 -1.000000 0.214522 -0.065722 -258.038719 0.050085 0.003530
-4.666667 0.085330 0.005951 -0.282867 -254.270006 0.050014 0.044135
-4.666667 1.185049 0.024060 -0.318215 -196.759017 0.050002 0.049579
-4.666667 2.312766 0.006349 -0.321579 -127.198015 0.050000 0.049893
-4.666667 3.480621 -0.001567 -0.359387 -95.887805 0.050000 0.049909
-4.666667 4.698747 -0.003765 -0.377102 -49.826626 0.050000 0.049919
-4.666667 5.974949 -0.024465 -0.409261 -26.150804 0.050000 0.049924
-4.666667 7.314577 -0.027022 -0.447763 9.640010 0.050000 0.049932
-4.666667 8.720607 -0.013466 -0.437126 78.580936 0.050000 0.049945
-4.666667 10.193859 0.008017 -0.398065 101.965388 0.050000 0.049949
-4.666667 11.733329 -0.001448 -0.370596 82.374677 0.050000 0.049945
-4.666667 13.336554 -0.019234 -0.376101 34.786156 0.050000 0.049936
-4.666667 15.000000 -0.019234 -0.365090 -12.802365 0.050000 0.049928
-3.333333 -4.331754 0.000000 0.500000 -258.439672 1.000000 0.000000
-3.333333 -3.190854 0.212394 0.464241 -258.439672 0.135746 0.000000
-3.333333 -2.086070 0.312141 0.387421 -266.235096 0.054166 0.000008
-3.333333 -1.000000 0.445227 0.322053 -260.351221 0.050107 0.000277
-3.333333 0.085330 0.305936 0.021713 -254.019406 0.049967 0.005468
-3.333333 1.185049 0.078792 -0.296157 -227.222578 0.050008 0.044473
-3.333333 2.312766 0.015175 -0.346140 -177.507008 0.050003 0.047446
-3.333333 3.480621 -0.010218 -0.365152 -102.694949 0.050003 0.047510
-3.333333 4.698747 -0.024611 -0.395289 -38.334806 0.050002 0.047500
-3.333333 5.974949 -0.055317 -0.427410 -19.985140 0.050002 0.047489
-3.333333 7.314577 -0.055743 -0.431208 28.897385 0.050001 0.047487
-3.333333 8.720607 -0.024744 -0.398365 58.204748 0.050001 0.047484
-3.333333 10.193859 -0.012464 -0.380230 40.828445 0.050001 0.047478
-3.333333 11.733329 -0.015956 -0.386950 47.210126 0.050000 0.047478
-3.333333 13.336554 -0.025869 -0.385883 57.762441 0.050000 0.047479
-3.333333 15.000000 -0.025869 -0.388018 68.314757 0.050000 0.047480
-2.000000 -4.331754 0.000000 0.500000 -211.845046 1.000000 0.000000
-2.000000 -3.190854 0.260858 0.501682 -211.845046 0.135880 0.000000
-2.000000 -2.086070 0.335216 0.494864 -230.239476 0.054305 0.000000
-2.000000 -1.000000 0.396184 0.541219 -232.567305 0.050126 0.000010
-2.000000 0.085330 0.462078 0.703950 -224.514777 0.049975 0.000243
-2.000000 1.185049 0.140411 0.759922 -202.564440 0.049973 0.002477
-2.000000 2.312766 0.051448 0.666758 -173.504556 0.049977 0.002580
-2.000000 3.480621 0.004456 0.597380 -123.376294 0.049984 0.002552
