threads,run1_time,run2_time,run3_time,mean_time,cycles,instructions,cache_misses,branch_misses
1,31.958241579,,,31.958241,73438951526
81989003465,82011492693
208729579659,177880687
207765287,118979406
9473958
2,77.681305092,,,77.681305,58850248952
63302020336,55235460855
159663692505,151793645
191655538,68901197
7479692
4,1.207461612,,,1.207461,3442480189
3460053775,3677825113
8469836758,6834238
23449816,1381726
813934
8,0.291170260,,,.291170,664058812
731581881,537760538
2012992916,2967984
1897179,3617472
535142
16,0.152750426,,,.152750,560437168
600909865,415752055
1540306703,3045577
1373045,3007591
523769
24,0.159173795,,,.159173,587347786
634719029,443749208
1724246297,3116981
1569732,3144581
517914
32,0.152294588,,,.152294,585836695
663272244,464034791
1843790913,2717440
1668450,3320228
531768
