58.937107 58.937107 1.190619 1.173544 1.174081 1.088192 1.090885 1.094465 1.098754 1.103565 1.108705 1.113995 1.119278 1.124424 1.129333 1.134241 
58.937107 58.937107 1.190619 1.173544 1.174081 1.088192 1.090885 1.094465 1.098754 1.103565 1.108705 1.113995 1.119278 1.124424 1.129333 1.134241 
58.706339 58.706339 1.010270 1.000013 1.000560 1.089281 1.092017 1.095641 1.099984 1.104854 1.110059 1.115415 1.120764 1.125974 1.130943 1.135913 
58.706323 58.706323 1.010257 1.000000 1.000000 1.000006 1.000007 1.000007 1.000007 1.000008 1.000008 1.000008 1.000009 1.000009 1.000009 1.000010 
58.706323 58.706323 1.010257 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
58.706323 58.706323 1.010257 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
58.706323 58.706323 1.010257 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
58.706306 58.706306 1.010246 0.999988 0.999988 0.999987 0.999987 0.999986 0.999986 0.999985 0.999984 0.999983 0.999983 0.999982 0.999981 0.999981 
58.460042 58.460042 0.841513 0.827000 0.825910 0.822533 0.817104 0.809901 0.801269 0.791588 0.781244 0.770598 0.759967 0.749611 0.739733 0.729856 
58.460042 58.460042 0.841513 0.827000 0.825910 0.822533 0.817104 0.809901 0.801269 0.791588 0.781244 0.770598 0.759967 0.749611 0.739733 0.729856 
