-6.000000 -4.333437
-6.000000 -4.120617
-6.000000 -3.908638
-6.000000 -3.698310
-6.000000 -3.489562
-6.000000 -3.282321
-6.000000 -3.076512
-6.000000 -2.872057
-6.000000 -2.668874
-6.000000 -2.466879
-6.000000 -2.265988
-6.000000 -2.066111
-6.000000 -1.867160
-6.000000 -1.669040
-6.000000 -1.471660
-6.000000 -1.274923
-6.000000 -1.078733
-6.000000 -0.882991
-6.000000 -0.687600
-6.000000 -0.492460
-6.000000 -0.297470
-6.000000 -0.102531
-6.000000 0.092456
-6.000000 0.287585
-6.000000 0.482952
-6.000000 0.678650
-6.000000 0.874775
-6.000000 1.071418
-6.000000 1.268671
-6.000000 1.466625
-6.000000 1.665369
-6.000000 1.864992
-6.000000 2.065578
-6.000000 2.267212
-6.000000 2.469976
-6.000000 2.673950
-6.000000 2.879211
-6.000000 3.085836
-6.000000 3.293896
-6.000000 3.503463
-6.000000 3.714602
-6.000000 3.927380
-6.000000 4.141858
-6.000000 4.358094
-6.000000 4.576146
-6.000000 4.796065
-6.000000 5.017902
-6.000000 5.241703
-6.000000 5.467512
-6.000000 5.695371
-6.000000 5.925316
-6.000000 6.157381
-6.000000 6.391600
-6.000000 6.627999
-6.000000 6.866604
-6.000000 7.107438
-6.000000 7.350521
-6.000000 7.595868
-6.000000 7.843495
-6.000000 8.093413
-6.000000 8.345629
-6.000000 8.600151
-6.000000 8.856981
-6.000000 9.116121
-6.000000 9.377570
-6.000000 9.641324
-6.000000 9.907378
-6.000000 10.175723
-6.000000 10.446352
-6.000000 10.719251
-6.000000 10.994409
-6.000000 11.271809
-6.000000 11.551435
-6.000000 11.833269
-6.000000 12.117293
-6.000000 12.403484
-6.000000 12.691821
-6.000000 12.982280
-6.000000 13.274838
-6.000000 13.569469
-6.000000 13.866146
-6.000000 14.164844
-6.000000 14.465533
-6.000000 14.768186
-6.000000 15.071814
-5.760000 -4.333437
-5.760000 -4.120617
-5.760000 -3.908638
-5.760000 -3.698310
-5.760000 -3.489562
-5.760000 -3.282321
-5.760000 -3.076512
-5.760000 -2.872057
-5.760000 -2.668874
-5.760000 -2.466879
-5.760000 -2.265988
-5.760000 -2.066111
-5.760000 -1.867160
-5.760000 -1.669040
-5.760000 -1.471660
-5.760000 -1.274923
-5.760000 -1.078733
-5.760000 -0.882991
-5.760000 -0.687600
-5.760000 -0.492460
-5.760000 -0.297470
-5.760000 -0.102531
-5.760000 0.092456
-5.760000 0.287585
-5.760000 0.482952
-5.760000 0.678650
-5.760000 0.874775
-5.760000 1.071418
-5.760000 1.268671
-5.760000 1.466625
-5.760000 1.665369
-5.760000 1.864992
-5.760000 2.065578
-5.760000 2.267212
-5.760000 2.469976
-5.760000 2.673950
-5.760000 2.879211
-5.760000 3.085836
-5.760000 3.293896
-5.760000 3.503463
-5.760000 3.714602
-5.760000 3.927380
-5.760000 4.141858
-5.760000 4.358094
-5.760000 4.576146
-5.760000 4.796065
-5.760000 5.017902
-5.760000 5.241703
-5.760000 5.467512
-5.760000 5.695371
-5.760000 5.925316
-5.760000 6.157381
-5.760000 6.391600
-5.760000 6.627999
-5.760000 6.866604
-5.760000 7.107438
-5.760000 7.350521
-5.760000 7.595868
-5.760000 7.843495
-5.760000 8.093413
-5.760000 8.345629
-5.760000 8.600151
-5.760000 8.856981
-5.760000 9.116121
-5.760000 9.377570
-5.760000 9.641324
-5.760000 9.907378
-5.760000 10.175723
-5.760000 10.446352
-5.760000 10.719251
-5.760000 10.994409
-5.760000 11.271809
-5.760000 11.551435
-5.760000 11.833269
-5.760000 12.117293
-5.760000 12.403484
-5.760000 12.691821
-5.760000 12.982280
-5.760000 13.274838
-5.760000 13.569469
-5.760000 13.866146
-5.760000 14.164844
-5.760000 14.465533
-5.760000 14.768186
-5.760000 15.071814
-5.520000 -4.333437
-5.520000 -4.120617
-5.520000 -3.908638
-5.520000 -3.698310
-5.520000 -3.489562
-5.520000 -3.282321
-5.520000 -3.076512
-5.520000 -2.872057
-5.520000 -2.668874
-5.520000 -2.466879
-5.520000 -2.265988
-5.520000 -2.066111
-5.520000 -1.867160
-5.520000 -1.669040
-5.520000 -1.471660
-5.520000 -1.274923
-5.520000 -1.078733
-5.520000 -0.882991
-5.520000 -0.687600
-5.520000 -0.492460
-5.520000 -0.297470
-5.520000 -0.102531
-5.520000 0.092456
-5.520000 0.287585
-5.520000 0.482952
-5.520000 0.678650
-5.520000 0.874775
-5.520000 1.071418
-5.520000 1.268671
-5.520000 1.466625
-5.520000 1.665369
-5.520000 1.864992
-5.520000 2.065578
-5.520000 2.267212
-5.520000 2.469976
-5.520000 2.673950
-5.520000 2.879211
-5.520000 3.085836
-5.520000 3.293896
-5.520000 3.503463
-5.520000 3.714602
-5.520000 3.927380
-5.520000 4.141858
-5.520000 4.358094
-5.520000 4.576146
-5.520000 4.796065
-5.520000 5.017902
-5.520000 5.241703
-5.520000 5.467512
-5.520000 5.695371
-5.520000 5.925316
-5.520000 6.157381
-5.520000 6.391600
-5.520000 6.627999
-5.520000 6.866604
-5.520000 7.107438
-5.520000 7.350521
-5.520000 7.595868
-5.520000 7.843495
-5.520000 8.093413
-5.520000 8.345629
-5.520000 8.600151
-5.520000 8.856981
-5.520000 9.116121
-5.520000 9.377570
-5.520000 9.641324
-5.520000 9.907378
-5.520000 10.175723
-5.520000 10.446352
-5.520000 10.719251
-5.520000 10.994409
-5.520000 11.271809
-5.520000 11.551435
-5.520000 11.833269
